executed_trade_count,gross_executable_edge_bp_per_trade,additional_cost_bp_per_side,net_edge_bp_per_trade,hit_rate,net_trade_sharpe,cumulative_net_pnl_bp,best_day_pnl_fraction,best_5pct_trade_pnl_fraction,positive_days,days,view,model,side,horizon_ms,tail,eligible_oof_observations
17262,0.08679038114774063,3.0,-5.913209618852259,0.000926891437840343,-1042.2936564391387,-102073.82444062771,,,0,4,predictive_all_eligible,obi_only,long,30000,0.05,345221
5323,0.06828233315808863,3.0,-5.931717666841911,0.0007514559458951719,-565.7328550732065,-31574.533140599495,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.05,345221
17262,0.08679038114773974,5.0,-9.91320961885226,0.0003475842891901286,-1747.3548490044352,-171121.8244406277,,,0,4,predictive_all_eligible,obi_only,long,30000,0.05,345221
5323,0.06828233315808774,5.0,-9.931717666841912,0.00018786398647379298,-947.2296739360683,-52866.533140599495,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.05,345221
6906,0.09508873067289225,1.0,-1.9049112693271077,0.008253692441355343,-189.3722443870655,-13155.317225973005,,,0,4,predictive_all_eligible,obi_only,long,30000,0.02,345221
3278,0.08043634270374955,1.0,-1.9195636572962504,0.008541793776693106,-129.23073072954227,-6292.329668617109,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.02,345221
6906,0.09508873067289247,2.0,-3.9049112693271075,0.0027512308137851143,-388.1975098325889,-26967.317225973005,,,0,4,predictive_all_eligible,obi_only,long,30000,0.02,345221
3278,0.08043634270374955,2.0,-3.9195636572962504,0.003050640634533252,-263.8766751225162,-12848.329668617109,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.02,345221
6906,0.09508873067289247,3.0,-5.9049112693271075,0.001592817839559803,-587.0227752781121,-40779.317225973005,,,0,4,predictive_all_eligible,obi_only,long,30000,0.02,345221
3278,0.08043634270374955,3.0,-5.9195636572962504,0.0018303843807199512,-398.5226195154901,-19404.32966861711,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.02,345221
6906,0.09508873067289159,5.0,-9.904911269327108,0.0005792064871126556,-984.673306169159,-68403.317225973,,,0,4,predictive_all_eligible,obi_only,long,30000,0.02,345221
3278,0.08043634270375044,5.0,-9.91956365729625,0.0003050640634533252,-667.8145083014379,-32516.32966861711,,,0,2,non_overlapping_trade_tape,obi_only,long,30000,0.02,345221
3455,0.090536151892457,1.0,-1.909463848107543,0.010709117221418235,-134.37250542175772,-6597.197595211561,,,0,4,predictive_all_eligible,obi_only,long,30000,0.01,345221
